title,images,category,description,price,sku
L’AMOUR Professional Face Powder,"https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-0-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBD1VW3_-5-100x100.jpg",marooffc,"This specially designed three-way type of compact can be conveniently used for the dual effect of compact powder as well as foundation. Use compact as dry on smooth natural fresh looking skin. Use compact as wet for a moist, transparent, and healthy look of skin.",,
Long Lasting Glitter Eyeshadow,"https://marooffc.com/wp-content/uploads/2023/10/B07P97JJBK-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83VS1H-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P83VS1H-3-100x100.jpg",marooffc,"This brilliantly long-wearing sparkle long lasting glitter eyeshadow combines the perfect mix of pearl and glitter to lavish eyes with incredible luster and shimmer. With its uniquely lightweight, water-infused texture, the Eyeshadow glides on effortlessly, then dries down smoothly, locking in maximum sparkle with minimal fallout, for eyes with a real wow factor.",,
Long Lasting Lipstick by Maroof,"https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-4-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07P97HTC5-3-100x100.jpg",marooffc,"Maroof Long Lasting Lipstick is designed to make you feel special, from its packaging to its striking colour tones. The creamy and highly pigmented colours in the series give lips an irresistible appeal and an extremely comfortable and silky appearance.",,
Long Lasting Make-Up Fixer – 150ml,"https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-1-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-3-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B07PBYR5B8-4-100x100.jpg",marooffc,"Dermatologically Tested. This Formula is suitable for all skin types. It basically keeps your eyeshadow, foundation, base, blush, and concealer in place whether in hot and humid or cold and windy climates. It makes your skin look smoother and better.",,
Makeup Base Primer,"https://marooffc.com/wp-content/uploads/2023/10/B08L898661-1-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B08L898661-2-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/10/B08L898661-3-100x100.jpg",marooffc,"Create the perfect make-up base with Maroof Base Primer Face Perfecting Primer, a lightweight, skin-refining formula that works to minimize the appearance of pores and fine lines. Ideal for wearing alone or under foundation, its silky texture melts effortlessly onto skin to hide imperfections, whilst its pink tint diffuses light to brighten your complexion and even out your skin tone.",,
"MAROOF Air Foundation for Legs, 90g","https://marooffc.com/wp-content/uploads/2023/12/SijQe-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/SijQX-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/SijQP-scaled-100x100.jpg",marooffc,"Introducing MAROOF Air Foundation for Legs, a game-changer in leg makeup. This lightweight and breathable formula, weighing 90g, flawlessly covers imperfections while allowing your skin to breathe. Achieve smooth, even-toned legs with a natural finish. Whether it’s scars, blemishes, or uneven skin tone, this foundation provides impeccable coverage. Its long-lasting formula ensures all-day wear without feeling heavy. Enjoy the confidence of flawless legs with MAROOF Air Foundation ? because every step should be a stride of beauty.",,
MAROOF Eyebrow Gel,"https://marooffc.com/wp-content/uploads/2023/12/715rtzKck4L-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/71s6TyDeSoL-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/71zHMGZxwRL-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/71VAmuZpixL-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/91SzCbzUxL-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/71Gmr-LR0uL-100x100.jpg",marooffc,"Achieve flawless, defined eyebrows with our Eyebrow Tattoo Gel. Available in black, chocolate, dark and medium brown shades, it effortlessly enhances your brows for a natural look. The long-lasting formula ensures smudge-proof, waterproof wear. Easy to apply, it fills in sparse areas, creating beautiful, well-defined brows that last all day. Elevate your brow game with our high-quality eyebrow tattoo gel.",,
MAROOF Glitter Powder Magic,"https://marooffc.com/wp-content/uploads/2023/12/SWEts-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/SWEtp-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/SWEtL-scaled-100x100.jpg",marooffc,"Unleash your inner sparkle with our Eye Shadow Glitter Powder. Transform your eyes with a dazzling array of shimmering shades. The finely milled formula ensures easy application and long-lasting wear. Create mesmerizing eye looks for any occasion, from subtle glimmer to intense sparkle. Elevate your makeup game with our high-quality glitter powder.",,
MAROOF Hard Nail Tips,"https://marooffc.com/wp-content/uploads/2023/12/SWhh0-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/SWEc8-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/SWEc4-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/SWEcg-1-scaled-100x100.jpg",marooffc,"Enhance your nail game with our False Hard Nail Tips. Achieve salon-quality nails at home with ease. These durable and high-quality tips provide a natural look and feel. With easy application and customizable length, you can create your desired nail style effortlessly. Elevate your manicure routine with our false hard nail tips for beautiful, long-lasting nails.",,
MAROOF Long Lasting Glitter Eyeshadow 8ml,"https://marooffc.com/wp-content/uploads/2023/12/SijWX-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/Sijcz-scaled-100x100.jpg,https://marooffc.com/wp-content/uploads/2023/12/Sijcx-scaled-100x100.jpg",marooffc,"Unleash your inner sparkle with MAROOF Long Lasting Glitter Eyeshadow (8ml). This high-impact eyeshadow is your go-to for dazzling eyes that stay vibrant all day. The lightweight, creamy formula glides on effortlessly, delivering an intense burst of shimmer. Whether it’s a subtle glimmer or a bold statement, this eyeshadow offers buildable coverage. The long-lasting formula ensures your eyes shine from dawn to dusk. Elevate your eye game with MAROOF ? where glamour meets endurance in every radiant drop.",,
