title,images,category,description,price,sku
FLOODLIGHT SFD LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-21.webp,platoled,"Product name FLOODLIGHT SFD LENZ
Material ALUMINIUM
Color BLACK
IP Rating IP65
Color Temp 65K | 35K
CRI 80
LM/W 80
PF >0.9
Vol 220V
Available in
50W | 100 W | 200 W | 300 W | 400 W",,
FLOODLIGHT DYJ COB MINI,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-22.webp,platoled,"Product name FLOODLIGHT DYJ COB MINI
Material ALUMINIUM
Color black
IP Rating IP66
Color Temp 65K
CRI 80
LM/W 80
PF NA
Vol 100-240V
Available in
50 W | 100 W | 150W | 200 W | 300 W | 400 W | 500 W",,
FLOODLIGHT HD-CUP,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-24.webp,platoled,"Product name FLOODLIGHT HD-CUP
Material ALUMINIUM
Color Black
IP Rating IP66
Color Temp 65K
CRI 80
LM/W 80
PF 0.5
Vol AC100-220V
Available in
400 W | 600 W | 800 W",,
JGX FLOODLIGHT LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-27.webp,platoled,"Product name JGX FLOODLIGHT LENZ
Material Alum
Color Black
IP Rating IP66
Color Temp 65K
CRI 80
LM/W 120
PF >0.9
Vol AC100-240V
Available in
100 W| 200 W| 400 W | 600 W |",,
FLOODLIGHT WHITESHEET,http://www.platoled.com/assets/img/categories/FL%20Normal/FL%20Normal-28.webp,platoled,"Product name FLOODLIGHT WHITESHEET
Material IRON
Color Black
IP Rating IP66
Color Temp 65K | 35K
CRI 70
LM/W 80
PF 0.9
Vol AC220V
Available in
50 W |100 W| 200 W| 300 W | 400 W | 500 W | 600 W | 1000 W | 1500 W | 2000 W",,
FLOODLIGHT BACKPACK,http://www.platoled.com/assets/img/categories/FL%20Normal/BIG%20BACKPACK.webp,platoled,"Product name FLOODLIGHT BACKPACK
Material ALUMINUM
Color BLACK
IP Rating IP66
Color Temp 65 K
CRI 80
LM/W 80
PF >0.9
Vol 220V
Available in
200 W | 300 W | 400 W | 600 W | 800 W | 1000 W",,
FLOODLIGHT OVAL COB,http://www.platoled.com/assets/img/categories/FL%20Normal/OVAL%20COB.webp,platoled,"Product name FLOODLIGHT OVAL COB
Material ALUMINUM
Color BLACK
IP Rating IP 65 | IP 66
Color Temp 65 K
CRI 70 | 80
LM/W 80
PF 0.9
Vol 200 V | 85 - 265 V
Available in
50 W | 100 W | 200 W | 300 W | 400 W | 500 W | 600 W",,
FLOODLIGHT PHILIPS,http://www.platoled.com/assets/img/categories/FL%20Normal/PHILIPS-IL.webp,platoled,"Product name FLOODLIGHT PHILIPS
Material Alum
Color WHITE
IP Rating IP66
Color Temp 65 K
CRI 80
LM/W 130
PF >0.5
Vol AC110-220V
Available in
100 W | 200 W | 300 W| 400 W| 600 W",,
FLOODLIGHT 5054 LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/SMD%205054%20LENZ.webp,platoled,"Product name FLOODLIGHT 5054 LENZ
Material ALUMINUM
Color BLACK
IP Rating IP 65 | IP 66
Color Temp 65 K
CRI 70
LM/W 80
PF >0.9 | >0.5
Vol AC220V | AC110-220V
Available in
50 W | 100 W | 150 W | 200 W | 300 W | 400 W | 600 W | 1000 W | 1200 W",,
FLOODLIGHT STAR,http://www.platoled.com/assets/img/categories/FL%20Normal/STAR.webp,platoled,"Product name FLOODLIGHT STAR
Material Iron
Color BLACK
IP Rating IP66
Color Temp 65 K
CRI 80
LM/W 80
PF NA
Vol AC100-240V
Available in
100 W | 200 W | 300 W",,
FLOODLIGHT ZL COB MINI,http://www.platoled.com/assets/img/categories/FL%20Normal/ZL.webp,platoled,"Product name FLOODLIGHT ZL COB MINI
Material Iron
Color BLACK
IP Rating IP65
Color Temp 65 K
CRI 80
LM/W 80
PF NA
Vol AC100-240V
Available in
50 W | 100 W | 150 W | 200 W | 300 W | 400 W | 500 W",,
FLOODLIGHT ZXC COB LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/ZXC-ROUND%20LENZ.webp,platoled,"Product name FLOODLIGHT ZXC COB LENZ
Material ALUMINUM
Color GRAY
IP Rating IP66
Color Temp 65 K
CRI 80
LM/W 110
PF NA
Vol 100 - 240 V
Available in
50 W |100 W | 200 W | 300 W | 400 W",,
FLOODLIGHT ZXC-SQ LENZ,http://www.platoled.com/assets/img/categories/FL%20Normal/ZXC-SQ%20LENZ.webp,platoled,"Product name FLOODLIGHT ZXC-SQ LENZ
Material ALUMINUM
Color GRAY
IP Rating IP66
Color Temp 65 K
CRI 80
LM/W 110
PF NA
Vol 100 - 240 V | 185 - 265 V
Available in
100 W | 200 W | 300 W | 400 W",,
SOLAR FLOODLIGHT M403,http://www.platoled.com/assets/img/categories/FL%20Solar/SOLAR%20M403.webp,platoled,"Product name SOLAR FLOODLIGHT M403
Material NA
Color BLACK
IP Rating NA
Color Temp 65 K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
2000 W",,
SOLAR FLOODLIGHT M402,http://www.platoled.com/assets/img/categories/FL%20Solar/SOLAR%20M402.webp,platoled,"Product name SOLAR FLOODLIGHT M402
Material NA
Color BLACK
IP Rating NA
Color Temp 65 K
CRI NA
LM/W NA
PF NA
Vol NA
Available in
1500 W",,
SOLAR FLOODLIGHT UT,http://www.platoled.com/assets/img/categories/FL%20Solar/FL%20Solar-1.webp,platoled,"Product name SOLAR FLOODLIGHT UT
Material ALUMINIUM
Color GRAY
IP Rating IP66
Color Temp 65K
CRI NA
LM/W 130
PF NA
Vol NA
Available in
600 W | 800 W | 1200 W",,
SOLAR FLOODLIGHT T-A,http://www.platoled.com/assets/img/categories/FL%20Solar/FL%20Solar-2.webp,platoled,"Product name SOLAR FLOODLIGHT T-A
Material ALUMINIUM
Color GRAY
IP Rating IP65
Color Temp 65K
CRI 70
LM/W 130
PF NA
Vol NA
Available in
400 W | 600 W | 800 W",,
SOLAR FLOODLIGHT T-HD,http://www.platoled.com/assets/img/categories/FL%20Solar/FL%20Solar-3.webp,platoled,"Product name SOLAR FLOODLIGHT T-HD
Material ABS Shell
Color WHITE
IP Rating IP65
Color Temp 65K
CRI NA
LM/W 120
PF NA
Vol NA
Available in
100 W | 200 W | 300 W | 400 W",,
SOLAR GTX FLOODLIGHT BERLIN,http://www.platoled.com/assets/img/categories/FL%20Solar/FL%20Solar-8.webp,platoled,"Product name SOLAR GTX FLOODLIGHT BERLIN
Material NA
Color black
IP Rating IP65
Color Temp 65K
CRI NA
LM/W 120
PF NA
Vol AC220V
Available in
400 W | 600 W | 1000 W | 1200 W | 2000 W",,
